iter	Logloss
0	0.6930423197
1	0.6929392906
2	0.6928358025
3	0.6927346754
4	0.6926316463
5	0.692528355
6	0.6924254571
7	0.6923231494
8	0.692219399
9	0.6921191244
10	0.6920164233
11	0.6919152305
12	0.691813841
13	0.6917129762
14	0.6916117834
15	0.6915109842
16	0.6914094635
17	0.6913084675
18	0.6912077994
19	0.6911105416
20	0.6910120377
21	0.6909122877
22	0.6908108326
23	0.6907120664
24	0.6906133002
25	0.6905144684
26	0.690417145
27	0.6903174606
28	0.6902174483
29	0.6901190756
30	0.6900211619
31	0.6899216743
32	0.6898241542
33	0.6897257158
34	0.6896305566
35	0.6895317904
36	0.6894338767
37	0.6893356352
38	0.6892395578
39	0.689142759
40	0.6890457635
41	0.6889486368
42	0.6888530841
43	0.6887593677
44	0.6886621754
45	0.688568459
46	0.6884736933
47	0.6883785341
48	0.6882825879
49	0.6881876254
50	0.6880956797
51	0.6880003237
52	0.6879067385
53	0.6878131532
54	0.6877206828
55	0.6876272287
56	0.6875350207
57	0.6874428782
58	0.6873503423
59	0.6872576096
60	0.6871633029
61	0.68706998
62	0.6869776408
63	0.6868845802
64	0.6867928312
65	0.6867016725
66	0.6866102514
67	0.686518896
68	0.6864300982
69	0.6863394641
70	0.6862469937
71	0.686158655
72	0.6860676274
73	0.6859781738
74	0.6858870807
75	0.6857974959
76	0.6857071898
77	0.6856179329
78	0.6855271021
79	0.6854379108
80	0.685350687
81	0.6852632008
82	0.6851738784
83	0.6850873104
84	0.6849995619
85	0.6849112888
86	0.684824065
87	0.6847366444
88	0.6846514536
89	0.6845644265
90	0.6844771371
91	0.6843885361
92	0.6842998695
93	0.6842130391
94	0.6841286353
95	0.6840428543
96	0.6839566798
97	0.6838693904
98	0.6837840029
99	0.6836966479
100	0.6836106701
101	0.6835262007
102	0.6834412723
103	0.6833545731
104	0.6832694479
105	0.683184585
106	0.6830990007
107	0.6830153183
108	0.6829320294
109	0.682849921
110	0.68276414
111	0.6826807199
112	0.6825956603
113	0.6825130928
114	0.6824289513
115	0.682346187
116	0.6822622423
117	0.6821806585
118	0.6820963859
119	0.6820146709
120	0.6819326281
121	0.6818488145
122	0.6817665093
123	0.6816840074
124	0.6816015054
125	0.6815206431
126	0.6814376821
127	0.6813547866
128	0.6812716945
129	0.6811925372
130	0.6811134455
131	0.6810329111
132	0.6809529012
133	0.6808712519
134	0.6807911109
135	0.6807132653
136	0.6806336489
137	0.6805545573
138	0.6804760558
139	0.6803965051
140	0.6803183315
141	0.6802396989
142	0.6801598203
143	0.6800828928
144	0.6800035388
145	0.679926349
146	0.6798480443
147	0.6797700675
148	0.6796904512
149	0.6796124088
150	0.6795315464
151	0.6794521924
152	0.6793747403
153	0.6792985342
154	0.6792203607
155	0.6791432365
156	0.6790657843
157	0.6789887913
158	0.678912454
159	0.6788372973
160	0.6787584023
161	0.6786819995
162	0.6786045474
163	0.6785289316
164	0.6784558734
165	0.6783805199
166	0.6783039203
167	0.6782264682
168	0.67815059
169	0.6780747119
170	0.6780012602
171	0.6779242016
172	0.6778484546
173	0.6777728387
174	0.6776982066
175	0.6776245582
176	0.6775500573
177	0.6774774582
178	0.6774023014
179	0.6773278005
180	0.6772542177
181	0.6771800447
182	0.6771067898
183	0.6770321577
184	0.6769575255
185	0.6768836148
186	0.6768113437
187	0.6767403185
188	0.6766681785
189	0.6765938088
190	0.6765212097
191	0.6764490697
192	0.6763775199
193	0.6763064948
194	0.676236519
195	0.6761658218
196	0.6760932227
197	0.6760219353
198	0.6759502544
199	0.675880672
200	0.675808532
201	0.6757365232
202	0.6756661539
203	0.6755944074
204	0.6755252842
205	0.6754560298
206	0.6753849391
207	0.67531516
208	0.6752427577
209	0.6751730442
210	0.6751030028
211	0.67503224
212	0.6749614117
213	0.674891567
214	0.6748226405
215	0.6747544354
216	0.6746841317
217	0.6746144182
218	0.674546869
219	0.6744778769
220	0.6744088848
221	0.6743403518
222	0.6742726058
223	0.67420545
224	0.6741378351
225	0.6740689087
226	0.6740027366
227	0.6739348594
228	0.6738672446
229	0.6738012037
230	0.6737352284
231	0.6736691875
232	0.6736018349
233	0.6735359908
234	0.6734709336
235	0.6734037122
236	0.6733357695
237	0.6732691383
238	0.6732048026
239	0.6731364663
240	0.6730698352
241	0.6730041222
242	0.6729384748
243	0.6728726307
244	0.672806393
245	0.6727385814
246	0.6726713601
247	0.6726074178
248	0.6725417048
249	0.672477369
