iter	Passed	Remaining
0	11	2745
1	20	2599
2	31	2556
3	40	2469
4	51	2513
5	60	2458
6	68	2383
7	78	2370
8	88	2357
9	98	2362
10	106	2316
11	116	2312
12	125	2296
13	133	2257
14	143	2249
15	154	2254
16	163	2237
17	171	2214
18	181	2203
19	189	2184
20	198	2165
21	208	2163
22	217	2146
23	226	2130
24	236	2131
25	245	2117
26	255	2107
27	264	2094
28	273	2082
29	282	2071
30	291	2056
31	300	2049
32	310	2039
33	318	2024
34	326	2008
35	335	1996
36	344	1985
37	353	1972
38	362	1962
39	372	1954
40	381	1943
41	390	1932
42	399	1923
43	408	1912
44	418	1904
45	428	1898
46	437	1889
47	445	1876
48	455	1867
49	464	1857
50	472	1844
51	481	1834
52	490	1823
53	499	1811
54	507	1798
55	515	1787
56	525	1777
57	533	1767
58	542	1755
59	550	1743
60	559	1732
61	567	1720
62	575	1708
63	584	1697
64	593	1687
65	602	1679
66	611	1670
67	620	1660
68	629	1650
69	637	1639
70	645	1628
71	654	1617
72	662	1606
73	671	1596
74	680	1587
75	688	1576
76	697	1566
77	705	1555
78	714	1546
79	722	1536
80	731	1525
81	739	1515
82	748	1505
83	757	1496
84	765	1486
85	773	1475
86	782	1465
87	790	1455
88	798	1444
89	808	1436
90	816	1427
91	826	1419
92	835	1410
93	843	1400
94	852	1390
95	860	1380
96	868	1370
97	877	1360
98	885	1350
99	894	1341
100	903	1332
101	912	1323
102	920	1314
103	929	1305
104	938	1296
105	947	1286
106	955	1277
107	965	1269
108	974	1260
109	983	1251
110	992	1242
111	1000	1233
112	1009	1224
113	1018	1215
114	1027	1206
115	1036	1196
116	1045	1188
117	1054	1179
118	1063	1170
119	1072	1161
120	1080	1151
121	1089	1143
122	1098	1134
123	1106	1124
124	1116	1116
125	1125	1107
126	1133	1098
127	1143	1089
128	1152	1081
129	1160	1071
130	1169	1062
131	1178	1053
132	1188	1045
133	1196	1036
134	1205	1027
135	1214	1017
136	1222	1008
137	1230	998
138	1238	989
139	1247	980
140	1256	971
141	1265	962
142	1273	953
143	1282	944
144	1290	934
145	1299	925
146	1307	916
147	1315	906
148	1324	897
149	1332	888
150	1341	879
151	1350	870
152	1358	861
153	1368	853
154	1377	844
155	1385	834
156	1394	825
157	1402	816
158	1410	807
159	1419	798
160	1428	789
161	1436	780
162	1445	771
163	1453	762
164	1461	753
165	1470	744
166	1479	735
167	1488	726
168	1497	717
169	1505	708
170	1513	699
171	1522	690
172	1530	681
173	1538	672
174	1547	663
175	1555	654
176	1565	645
177	1574	636
178	1582	627
179	1591	618
180	1600	610
181	1608	601
182	1617	592
183	1625	582
184	1633	574
185	1642	565
186	1651	556
187	1659	547
188	1668	538
189	1676	529
190	1684	520
191	1693	511
192	1702	502
193	1711	494
194	1720	485
195	1729	476
196	1738	467
197	1747	459
198	1757	450
199	1765	441
200	1775	432
201	1784	424
202	1793	415
203	1802	406
204	1811	397
205	1820	388
206	1830	380
207	1839	371
208	1848	362
209	1857	353
210	1866	345
211	1876	336
212	1885	327
213	1894	318
214	1904	310
215	1914	301
216	1923	292
217	1933	283
218	1943	275
219	1952	266
220	1960	257
221	1969	248
222	1978	239
223	1987	230
224	1996	221
225	2005	212
226	2014	204
227	2023	195
228	2033	186
229	2042	177
230	2050	168
231	2060	159
232	2069	150
233	2078	142
234	2087	133
235	2096	124
236	2105	115
237	2114	106
238	2123	97
239	2132	88
240	2141	79
241	2150	71
242	2159	62
243	2168	53
244	2177	44
245	2185	35
246	2194	26
247	2203	17
248	2211	8
249	2220	0
